job_id,benchmark_type,benchmark_name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_large_check_count,lambdapi_large_check_results,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
aec71814-8a11-4469-9fdf-325322093468,QF_UF,20170829-Rodin,20,20 - 0 - 0,25,17,19,26,29,33,20,20 - 0 - 0,8.0,6,6,8.0,9.0,11.0,20,20 - 0 - 0,1,7.0,8.0,9.0,1,18,0,0 - 0 - 0,0.0,0,0.0,0.0,0,0,20,16 - 4 - 0,0,0 - 0 - 0,104,89,93,95,114,157
e36c369b-8676-48ff-a2a1-aa1e40d1452e,QF_UF,2018-Goel-hwbench,229,222 - 0 - 7,1,19,26,36,136,25,229,221 - 8 - 0,626.0,4,8,13.0,44.0,19.0,192,189 - 3 - 0,4,6.0,1.0,14.0,51,338,29,5 - 19 - 5,6.0,115,174.0,4.0,14,34,189,167 - 22 - 0,7,2 - 4 - 1,218,5,144,154,237,5959
d64fd58b-d27b-41ab-a334-5abe317645bf,QF_UF,20190906-CLEARSY,11,11 - 0 - 0,86,19,29,3,113,407,11,11 - 0 - 0,27.0,6,7,11.0,33.0,115.0,10,10 - 0 - 0,84,6.0,9.0,1.0,45,665,1,1 - 0 - 0,2.0,2,2.0,2.0,2,2,10,0 - 10 - 0,1,0 - 1 - 0,0,0,0,0,0,0
0ebfe7bc-2319-4645-977a-de754b5177c8,QF_UF,eq_diamond,100,100 - 0 - 0,155,19,42,72,147,892,100,100 - 0 - 0,282.0,7,3,62.0,0.17,2.0,66,66 - 0 - 0,275,6.0,73.0,226.0,398,814,34,34 - 0 - 0,5.0,726,944.0,4.38,8,16,66,15 - 0 - 51,34,0 - 0 - 34,749,94,216,374,890,3544
d0f171e9-dcc1-4d70-9711-81f9fb28b93d,QF_UF,NEQ,48,37 - 0 - 11,3,171,518,2,5,26,44,35 - 8 - 1,6.0,11,365,2.24,8.49,38.3,3,3 - 0 - 0,2,2.25,2.25,2.37,3,3,32,19 - 0 - 13,9.95,2,4.0,9.0,33,48,3,0 - 0 - 3,25,0 - 5 - 20,0,0,0,0,0,0
81cbd0cc-2efa-4889-87cd-d8d1bf8f3b3f,QF_UF,PEQ,47,24 - 0 - 23,3,151,774,2,8,27,32,24 - 8 - 0,7.0,18,117,2.0,10.0,48.0,0,0 - 0 - 0,0,0.0,0.0,0.0,0,0,24,13 - 0 - 11,10.0,1,4.0,19.0,31,42,0,0 - 0 - 0,16,0 - 2 - 14,0,0,0,0,0,0
a492986f-9ff8-41c7-98d6-ba0efda0b66c,QF_UF,QG-classification,3859,3801 - 0 - 58,2,26,437,886,3,31,3851,3717 - 134 - 0,3.14,9,638,1.0,4.0,46.0,37,37 - 0 - 0,348,1.0,208.0,367.0,486,618,3680,1840 - 258 - 1582,11.0,69,6.31,15.0,30,70,37,30 - 0 - 7,1018,2 - 102 - 914,2516,111,1169,1946,2539,56941
d4e9f300-64c6-4367-90c5-efc536658e76,QF_UF,SEQ,44,34 - 0 - 10,3,35,118,639,3,27,39,34 - 5 - 0,6.0,9,46,476.0,3.0,49.0,10,10 - 0 - 0,1,0.14,189.0,0.23,2,6,24,16 - 0 - 8,1.0,2,3.0,9.0,30,39,10,4 - 0 - 6,19,0 - 3 - 16,3495,1865,2364,3982,4141,4153
ae438ed3-57ba-4792-ad58-893b560270ad,QF_UF,TypeSafe,3,3 - 0 - 0,25,21,21,26,29,29,3,3 - 0 - 0,8.0,6,6,8.0,1.0,1.0,3,3 - 0 - 0,8,7.0,7.0,8.0,9,9,0,0 - 0 - 0,0.0,0,0.0,0.0,0,0,3,3 - 0 - 0,0,0 - 0 - 0,96,93,93,97,98,98
